layer,geoid,topic,stratification,period,value
Zip code,54130,FVDEWVAR,SWO1,2018-2019,159
Zip code,54130,FVDEWVAR,UNK4,2018-2019,14
Zip code,54130,FVDEWVAR,UNK5,2018-2019,14
Zip code,54130,FVDEWVAR,W,2018-2019,192
Zip code,54130,FVDEWVAR,X1012,2018-2019,29
Zip code,54130,FVDEWVAR,X113,2018-2019,17
Zip code,54130,FVDEWVAR,X1210,2018-2019,17
Zip code,54130,FVDEWVAR,X1S2,2018-2019,11
Zip code,54130,FVDEWVAR,X2N2,2018-2019,9
Zip code,54130,FVDEWVAR,X3R2,2018-2019,6
Zip code,54130,FVDEWVAR,X4T2,2018-2019,7
Zip code,54130,FVDEWVAR,X5T3,2018-2019,5
Zip code,54130,FVDEWVAR,X6T3,2018-2019,14
Zip code,54130,FVDEWVAR,X7T2,2018-2019,35
Zip code,54130,FVDEWVAR,X8T2,2018-2019,44
Zip code,54130,FVDEWVAR,X9T3,2018-2019,51
Zip code,54136,FVDEWVAR,,2018-2019,111
Zip code,54136,FVDEWVAR,A,2018-2019,2
Zip code,54136,FVDEWVAR,B,2018-2019,5
Zip code,54136,FVDEWVAR,ECO1,2018-2019,54
Zip code,54136,FVDEWVAR,ENG3,2018-2019,111
Zip code,54136,FVDEWVAR,FEM3,2018-2019,28
Zip code,54136,FVDEWVAR,H,2018-2019,11
Zip code,54136,FVDEWVAR,MAL15,2018-2019,83
Zip code,54136,FVDEWVAR,NOT3,2018-2019,57
Zip code,54136,FVDEWVAR,Q,2018-2019,6
Zip code,54136,FVDEWVAR,SWD1,2018-2019,43
Zip code,54136,FVDEWVAR,SWO1,2018-2019,68
Zip code,54136,FVDEWVAR,UNK5,2018-2019,9
Zip code,54136,FVDEWVAR,W,2018-2019,78
Zip code,54136,FVDEWVAR,X1012,2018-2019,21
Zip code,54136,FVDEWVAR,X113,2018-2019,13
Zip code,54136,FVDEWVAR,X1210,2018-2019,13
Zip code,54136,FVDEWVAR,X2N2,2018-2019,2
Zip code,54136,FVDEWVAR,X3R2,2018-2019,3
Zip code,54136,FVDEWVAR,X4T2,2018-2019,4
Zip code,54136,FVDEWVAR,X5T3,2018-2019,12
Zip code,54136,FVDEWVAR,X6T3,2018-2019,2
Zip code,54136,FVDEWVAR,X7T2,2018-2019,6
Zip code,54136,FVDEWVAR,X8T2,2018-2019,8
Zip code,54136,FVDEWVAR,X9T3,2018-2019,27
Zip code,54140,FVDEWVAR,,2018-2019,63
Zip code,54140,FVDEWVAR,A,2018-2019,1
Zip code,54140,FVDEWVAR,B,2018-2019,1
Zip code,54140,FVDEWVAR,ECO1,2018-2019,51
Zip code,54140,FVDEWVAR,EL1,2018-2019,2
Zip code,54140,FVDEWVAR,ENG3,2018-2019,57
Zip code,54140,FVDEWVAR,FEM3,2018-2019,9
Zip code,54140,FVDEWVAR,H,2018-2019,13
Zip code,54140,FVDEWVAR,K41,2018-2019,1
Zip code,54140,FVDEWVAR,MAL15,2018-2019,54
Zip code,54140,FVDEWVAR,NOT3,2018-2019,12
Zip code,54140,FVDEWVAR,Q,2018-2019,2
Zip code,54140,FVDEWVAR,SWD1,2018-2019,9
Zip code,54140,FVDEWVAR,SWO1,2018-2019,54
Zip code,54140,FVDEWVAR,UNK4,2018-2019,4
Zip code,54140,FVDEWVAR,UNK5,2018-2019,6
Zip code,54140,FVDEWVAR,W,2018-2019,40
Zip code,54140,FVDEWVAR,X1012,2018-2019,17
Zip code,54140,FVDEWVAR,X113,2018-2019,7
Zip code,54140,FVDEWVAR,X1210,2018-2019,5
Zip code,54140,FVDEWVAR,X1S2,2018-2019,1
Zip code,54140,FVDEWVAR,X3R2,2018-2019,2
Zip code,54140,FVDEWVAR,X4T2,2018-2019,10
Zip code,54140,FVDEWVAR,X5T3,2018-2019,2
Zip code,54140,FVDEWVAR,X6T3,2018-2019,6
Zip code,54140,FVDEWVAR,X7T2,2018-2019,1
Zip code,54140,FVDEWVAR,X8T2,2018-2019,4
Zip code,54140,FVDEWVAR,X9T3,2018-2019,7
Zip code,54165,FVDEWVAR,,2018-2019,120
