layer,geoid,topic,stratification,period,value
Zip code,54129,FVDEYLCV,W,2024-2025,387
Zip code,54129,FVDEYLCV,X1012,2024-2025,43
Zip code,54129,FVDEYLCV,X113,2024-2025,31
Zip code,54129,FVDEYLCV,X1210,2024-2025,37
Zip code,54129,FVDEYLCV,X1S2,2024-2025,21
Zip code,54129,FVDEYLCV,X2N2,2024-2025,31
Zip code,54129,FVDEYLCV,X3R2,2024-2025,27
Zip code,54129,FVDEYLCV,X4T2,2024-2025,36
Zip code,54129,FVDEYLCV,X5T3,2024-2025,38
Zip code,54129,FVDEYLCV,X6T3,2024-2025,32
Zip code,54129,FVDEYLCV,X7T2,2024-2025,41
Zip code,54129,FVDEYLCV,X8T2,2024-2025,36
Zip code,54129,FVDEYLCV,X9T3,2024-2025,46
Zip code,54130,FVDEYLCV,,2024-2025,4893
Zip code,54130,FVDEYLCV,A,2024-2025,96
Zip code,54130,FVDEYLCV,AUT2,2024-2025,86
Zip code,54130,FVDEYLCV,B,2024-2025,70
Zip code,54130,FVDEYLCV,ECO1,2024-2025,1189
Zip code,54130,FVDEYLCV,EL1,2024-2025,163
Zip code,54130,FVDEYLCV,EMO1,2024-2025,50
Zip code,54130,FVDEYLCV,ENG3,2024-2025,4730
Zip code,54130,FVDEYLCV,FEM3,2024-2025,1711
Zip code,54130,FVDEYLCV,H,2024-2025,334
Zip code,54130,FVDEYLCV,K41,2024-2025,234
Zip code,54130,FVDEYLCV,KIN2,2024-2025,276
Zip code,54130,FVDEYLCV,MAL15,2024-2025,2599
Zip code,54130,FVDEYLCV,NON10,2024-2025,10
Zip code,54130,FVDEYLCV,NOT2,2024-2025,4077
Zip code,54130,FVDEYLCV,NOT3,2024-2025,3704
Zip code,54130,FVDEYLCV,NOT4,2024-2025,4893
Zip code,54130,FVDEYLCV,OTH52,2024-2025,207
Zip code,54130,FVDEYLCV,P,2024-2025,38
Zip code,54130,FVDEYLCV,PK1,2024-2025,23
Zip code,54130,FVDEYLCV,Q,2024-2025,270
Zip code,54130,FVDEYLCV,SIG1,2024-2025,40
Zip code,54130,FVDEYLCV,SPE2,2024-2025,151
Zip code,54130,FVDEYLCV,SPE3,2024-2025,182
