layer,geoid,topic,stratification,period,value
Zip code,54106,FVDEWVAR,,2024-2025,2
Zip code,54106,FVDEWVAR,ECO1,2024-2025,2
Zip code,54106,FVDEWVAR,MAL15,2024-2025,2
Zip code,54106,FVDEWVAR,SWO1,2024-2025,2
Zip code,54106,FVDEWVAR,UNK4,2024-2025,2
Zip code,54106,FVDEWVAR,W,2024-2025,2
Zip code,54106,FVDEWVAR,X4T2,2024-2025,2
Zip code,54110,FVDEWVAR,,2024-2025,20
Zip code,54110,FVDEWVAR,ECO1,2024-2025,12
Zip code,54110,FVDEWVAR,EL1,2024-2025,2
Zip code,54110,FVDEWVAR,ENG3,2024-2025,18
Zip code,54110,FVDEWVAR,FEM3,2024-2025,4
Zip code,54110,FVDEWVAR,H,2024-2025,3
Zip code,54110,FVDEWVAR,MAL15,2024-2025,16
Zip code,54110,FVDEWVAR,NOT3,2024-2025,8
Zip code,54110,FVDEWVAR,SWD1,2024-2025,5
Zip code,54110,FVDEWVAR,SWO1,2024-2025,15
Zip code,54110,FVDEWVAR,UNK5,2024-2025,5
Zip code,54110,FVDEWVAR,W,2024-2025,12
Zip code,54110,FVDEWVAR,X1012,2024-2025,3
Zip code,54110,FVDEWVAR,X113,2024-2025,3
Zip code,54110,FVDEWVAR,X3R2,2024-2025,2
Zip code,54110,FVDEWVAR,X6T3,2024-2025,4
Zip code,54110,FVDEWVAR,X8T2,2024-2025,1
Zip code,54110,FVDEWVAR,X9T3,2024-2025,7
Zip code,54113,FVDEWVAR,,2024-2025,1
Zip code,54113,FVDEWVAR,ENG3,2024-2025,1
Zip code,54113,FVDEWVAR,FEM3,2024-2025,1
Zip code,54113,FVDEWVAR,NOT3,2024-2025,1
Zip code,54113,FVDEWVAR,SWO1,2024-2025,1
Zip code,54113,FVDEWVAR,W,2024-2025,1
Zip code,54113,FVDEWVAR,X4T2,2024-2025,1
Zip code,54129,FVDEWVAR,,2024-2025,3
Zip code,54129,FVDEWVAR,ECO1,2024-2025,1
Zip code,54129,FVDEWVAR,ENG3,2024-2025,3
Zip code,54129,FVDEWVAR,FEM3,2024-2025,1
Zip code,54129,FVDEWVAR,MAL15,2024-2025,2
Zip code,54129,FVDEWVAR,NOT3,2024-2025,2
Zip code,54129,FVDEWVAR,SWO1,2024-2025,3
Zip code,54129,FVDEWVAR,UNK5,2024-2025,2
Zip code,54129,FVDEWVAR,W,2024-2025,1
Zip code,54129,FVDEWVAR,X113,2024-2025,1
Zip code,54129,FVDEWVAR,X1S2,2024-2025,1
Zip code,54129,FVDEWVAR,X8T2,2024-2025,1
Zip code,54130,FVDEWVAR,,2024-2025,439
Zip code,54130,FVDEWVAR,A,2024-2025,8
Zip code,54130,FVDEWVAR,B,2024-2025,20
Zip code,54130,FVDEWVAR,ECO1,2024-2025,268
Zip code,54130,FVDEWVAR,EL1,2024-2025,20
Zip code,54130,FVDEWVAR,ENG3,2024-2025,396
Zip code,54130,FVDEWVAR,FEM3,2024-2025,58
Zip code,54130,FVDEWVAR,H,2024-2025,37
Zip code,54130,FVDEWVAR,KIN2,2024-2025,14
Zip code,54130,FVDEWVAR,MAL15,2024-2025,336
Zip code,54130,FVDEWVAR,NOT3,2024-2025,171
Zip code,54130,FVDEWVAR,Q,2024-2025,61
Zip code,54130,FVDEWVAR,SWD1,2024-2025,285
Zip code,54130,FVDEWVAR,SWO1,2024-2025,154
Zip code,54130,FVDEWVAR,UNK4,2024-2025,23
Zip code,54130,FVDEWVAR,UNK5,2024-2025,15
Zip code,54130,FVDEWVAR,UNK7,2024-2025,45
Zip code,54130,FVDEWVAR,W,2024-2025,298
Zip code,54130,FVDEWVAR,X1012,2024-2025,32
Zip code,54130,FVDEWVAR,X113,2024-2025,19
Zip code,54130,FVDEWVAR,X1210,2024-2025,5
Zip code,54130,FVDEWVAR,X1S2,2024-2025,51
Zip code,54130,FVDEWVAR,X2N2,2024-2025,44
Zip code,54130,FVDEWVAR,X3R2,2024-2025,24
Zip code,54130,FVDEWVAR,X4T2,2024-2025,38
Zip code,54130,FVDEWVAR,X5T3,2024-2025,29
Zip code,54130,FVDEWVAR,X6T3,2024-2025,53
Zip code,54130,FVDEWVAR,X7T2,2024-2025,30
Zip code,54130,FVDEWVAR,X8T2,2024-2025,76
Zip code,54130,FVDEWVAR,X9T3,2024-2025,24
Zip code,54136,FVDEWVAR,,2024-2025,170
Zip code,54136,FVDEWVAR,A,2024-2025,1
Zip code,54136,FVDEWVAR,B,2024-2025,2
Zip code,54136,FVDEWVAR,ECO1,2024-2025,73
Zip code,54136,FVDEWVAR,EL1,2024-2025,11
Zip code,54136,FVDEWVAR,ENG3,2024-2025,159
Zip code,54136,FVDEWVAR,FEM3,2024-2025,6
Zip code,54136,FVDEWVAR,H,2024-2025,13
Zip code,54136,FVDEWVAR,KIN2,2024-2025,2
Zip code,54136,FVDEWVAR,MAL15,2024-2025,135
Zip code,54136,FVDEWVAR,NOT3,2024-2025,97
Zip code,54136,FVDEWVAR,Q,2024-2025,16
Zip code,54136,FVDEWVAR,SWD1,2024-2025,90
Zip code,54136,FVDEWVAR,SWO1,2024-2025,80
Zip code,54136,FVDEWVAR,UNK5,2024-2025,3
Zip code,54136,FVDEWVAR,UNK7,2024-2025,29
Zip code,54136,FVDEWVAR,W,2024-2025,135
Zip code,54136,FVDEWVAR,X1012,2024-2025,24
Zip code,54136,FVDEWVAR,X113,2024-2025,4
Zip code,54136,FVDEWVAR,X1210,2024-2025,12
Zip code,54136,FVDEWVAR,X2N2,2024-2025,1
Zip code,54136,FVDEWVAR,X3R2,2024-2025,1
Zip code,54136,FVDEWVAR,X4T2,2024-2025,5
Zip code,54136,FVDEWVAR,X5T3,2024-2025,9
Zip code,54136,FVDEWVAR,X6T3,2024-2025,7
Zip code,54136,FVDEWVAR,X7T2,2024-2025,25
Zip code,54136,FVDEWVAR,X8T2,2024-2025,56
Zip code,54136,FVDEWVAR,X9T3,2024-2025,24
Zip code,54140,FVDEWVAR,,2024-2025,77
Zip code,54140,FVDEWVAR,B,2024-2025,1
Zip code,54140,FVDEWVAR,ECO1,2024-2025,56
Zip code,54140,FVDEWVAR,EL1,2024-2025,3
Zip code,54140,FVDEWVAR,ENG3,2024-2025,70
Zip code,54140,FVDEWVAR,FEM3,2024-2025,5
Zip code,54140,FVDEWVAR,H,2024-2025,6
Zip code,54140,FVDEWVAR,KIN2,2024-2025,1
Zip code,54140,FVDEWVAR,MAL15,2024-2025,61
Zip code,54140,FVDEWVAR,NOT3,2024-2025,21
Zip code,54140,FVDEWVAR,P,2024-2025,1
Zip code,54140,FVDEWVAR,Q,2024-2025,9
Zip code,54140,FVDEWVAR,SWD1,2024-2025,37
Zip code,54140,FVDEWVAR,SWO1,2024-2025,40
Zip code,54140,FVDEWVAR,UNK4,2024-2025,4
Zip code,54140,FVDEWVAR,UNK5,2024-2025,4
Zip code,54140,FVDEWVAR,UNK7,2024-2025,11
Zip code,54140,FVDEWVAR,W,2024-2025,56
Zip code,54140,FVDEWVAR,X1012,2024-2025,12
Zip code,54140,FVDEWVAR,X113,2024-2025,4
Zip code,54140,FVDEWVAR,X1210,2024-2025,1
Zip code,54140,FVDEWVAR,X1S2,2024-2025,4
Zip code,54140,FVDEWVAR,X2N2,2024-2025,4
Zip code,54140,FVDEWVAR,X3R2,2024-2025,6
Zip code,54140,FVDEWVAR,X4T2,2024-2025,9
Zip code,54140,FVDEWVAR,X5T3,2024-2025,2
Zip code,54140,FVDEWVAR,X6T3,2024-2025,2
Zip code,54140,FVDEWVAR,X7T2,2024-2025,15
Zip code,54140,FVDEWVAR,X8T2,2024-2025,3
Zip code,54140,FVDEWVAR,X9T3,2024-2025,14
Zip code,54165,FVDEWVAR,,2024-2025,64
Zip code,54165,FVDEWVAR,ECO1,2024-2025,46
Zip code,54165,FVDEWVAR,ENG3,2024-2025,59
Zip code,54165,FVDEWVAR,FEM3,2024-2025,15
Zip code,54165,FVDEWVAR,H,2024-2025,1
Zip code,54165,FVDEWVAR,MAL15,2024-2025,49
Zip code,54165,FVDEWVAR,NOT3,2024-2025,18
Zip code,54165,FVDEWVAR,P,2024-2025,12
Zip code,54165,FVDEWVAR,Q,2024-2025,7
Zip code,54165,FVDEWVAR,SWD1,2024-2025,34
Zip code,54165,FVDEWVAR,SWO1,2024-2025,30
Zip code,54165,FVDEWVAR,UNK4,2024-2025,5
Zip code,54165,FVDEWVAR,UNK5,2024-2025,20
Zip code,54165,FVDEWVAR,W,2024-2025,24
Zip code,54165,FVDEWVAR,X1012,2024-2025,1
Zip code,54165,FVDEWVAR,X113,2024-2025,3
Zip code,54165,FVDEWVAR,X1210,2024-2025,1
Zip code,54165,FVDEWVAR,X1S2,2024-2025,2
Zip code,54165,FVDEWVAR,X2N2,2024-2025,2
Zip code,54165,FVDEWVAR,X4T2,2024-2025,5
Zip code,54165,FVDEWVAR,X5T3,2024-2025,4
Zip code,54165,FVDEWVAR,X6T3,2024-2025,23
Zip code,54165,FVDEWVAR,X7T2,2024-2025,7
Zip code,54165,FVDEWVAR,X8T2,2024-2025,16
Zip code,54170,FVDEWVAR,,2024-2025,10
Zip code,54170,FVDEWVAR,ECO1,2024-2025,6
Zip code,54170,FVDEWVAR,EL1,2024-2025,1
Zip code,54170,FVDEWVAR,ENG3,2024-2025,9
Zip code,54170,FVDEWVAR,FEM3,2024-2025,2
Zip code,54170,FVDEWVAR,H,2024-2025,2
Zip code,54170,FVDEWVAR,MAL15,2024-2025,8
Zip code,54170,FVDEWVAR,NOT3,2024-2025,4
Zip code,54170,FVDEWVAR,SWD1,2024-2025,5
Zip code,54170,FVDEWVAR,SWO1,2024-2025,5
Zip code,54170,FVDEWVAR,UNK8,2024-2025,2
Zip code,54170,FVDEWVAR,W,2024-2025,8
Zip code,54170,FVDEWVAR,X1210,2024-2025,2
Zip code,54170,FVDEWVAR,X4T2,2024-2025,1
Zip code,54170,FVDEWVAR,X5T3,2024-2025,1
Zip code,54170,FVDEWVAR,X6T3,2024-2025,2
Zip code,54170,FVDEWVAR,X7T2,2024-2025,2
Zip code,54901,FVDEWVAR,,2024-2025,715
Zip code,54901,FVDEWVAR,A,2024-2025,2
Zip code,54901,FVDEWVAR,B,2024-2025,287
Zip code,54901,FVDEWVAR,ECO1,2024-2025,597
Zip code,54901,FVDEWVAR,EL1,2024-2025,45
Zip code,54901,FVDEWVAR,ENG3,2024-2025,670
Zip code,54901,FVDEWVAR,FEM3,2024-2025,171
Zip code,54901,FVDEWVAR,H,2024-2025,50
Zip code,54901,FVDEWVAR,KIN2,2024-2025,57
Zip code,54901,FVDEWVAR,MAL15,2024-2025,478
Zip code,54901,FVDEWVAR,NOT3,2024-2025,118
Zip code,54901,FVDEWVAR,P,2024-2025,2
Zip code,54901,FVDEWVAR,Q,2024-2025,133
Zip code,54901,FVDEWVAR,SWD1,2024-2025,294
Zip code,54901,FVDEWVAR,SWO1,2024-2025,421
Zip code,54901,FVDEWVAR,UNK5,2024-2025,45
Zip code,54901,FVDEWVAR,UNK7,2024-2025,66
Zip code,54901,FVDEWVAR,W,2024-2025,196
Zip code,54901,FVDEWVAR,X1012,2024-2025,27
Zip code,54901,FVDEWVAR,X113,2024-2025,51
Zip code,54901,FVDEWVAR,X1210,2024-2025,24
Zip code,54901,FVDEWVAR,X1S2,2024-2025,36
Zip code,54901,FVDEWVAR,X2N2,2024-2025,36
Zip code,54901,FVDEWVAR,X3R2,2024-2025,47
Zip code,54901,FVDEWVAR,X4T2,2024-2025,48
Zip code,54901,FVDEWVAR,X5T3,2024-2025,25
Zip code,54901,FVDEWVAR,X6T3,2024-2025,127
Zip code,54901,FVDEWVAR,X7T2,2024-2025,75
Zip code,54901,FVDEWVAR,X8T2,2024-2025,96
Zip code,54901,FVDEWVAR,X9T3,2024-2025,66
Zip code,54902,FVDEWVAR,,2024-2025,393
Zip code,54902,FVDEWVAR,A,2024-2025,2
Zip code,54902,FVDEWVAR,B,2024-2025,58
Zip code,54902,FVDEWVAR,ECO1,2024-2025,294
Zip code,54902,FVDEWVAR,EL1,2024-2025,4
Zip code,54902,FVDEWVAR,ENG3,2024-2025,376
Zip code,54902,FVDEWVAR,FEM3,2024-2025,67
Zip code,54902,FVDEWVAR,H,2024-2025,46
Zip code,54902,FVDEWVAR,K41,2024-2025,1
Zip code,54902,FVDEWVAR,KIN2,2024-2025,34
Zip code,54902,FVDEWVAR,MAL15,2024-2025,238
Zip code,54902,FVDEWVAR,NOT3,2024-2025,99
Zip code,54902,FVDEWVAR,Q,2024-2025,70
Zip code,54902,FVDEWVAR,SWD1,2024-2025,107
Zip code,54902,FVDEWVAR,SWO1,2024-2025,286
Zip code,54902,FVDEWVAR,UNK4,2024-2025,13
Zip code,54902,FVDEWVAR,UNK5,2024-2025,23
Zip code,54902,FVDEWVAR,UNK7,2024-2025,88
Zip code,54902,FVDEWVAR,W,2024-2025,194
