layer,geoid,topic,stratification,period,value
City or town,5544950,FVDEYLCV,P1,2025-2026,3
City or town,5544950,FVDEYLCV,PK1,2025-2026,8
City or town,5544950,FVDEYLCV,Q,2025-2026,86
City or town,5544950,FVDEYLCV,SWD1,2025-2026,234
City or town,5544950,FVDEYLCV,SWO1,2025-2026,1338
City or town,5544950,FVDEYLCV,W,2025-2026,1251
City or town,5544950,FVDEYLCV,X1012,2025-2026,111
City or town,5544950,FVDEYLCV,X113,2025-2026,113
City or town,5544950,FVDEYLCV,X1210,2025-2026,123
City or town,5544950,FVDEYLCV,X1S2,2025-2026,99
City or town,5544950,FVDEYLCV,X2N2,2025-2026,120
City or town,5544950,FVDEYLCV,X3R2,2025-2026,122
City or town,5544950,FVDEYLCV,X4T2,2025-2026,117
City or town,5544950,FVDEYLCV,X5T3,2025-2026,131
City or town,5544950,FVDEYLCV,X6T3,2025-2026,117
City or town,5544950,FVDEYLCV,X7T2,2025-2026,108
City or town,5544950,FVDEYLCV,X8T2,2025-2026,107
City or town,5544950,FVDEYLCV,X9T3,2025-2026,128
City or town,5550825,FVDEYLCV,,2025-2026,2596
City or town,5550825,FVDEYLCV,A,2025-2026,152
City or town,5550825,FVDEYLCV,B,2025-2026,209
City or town,5550825,FVDEYLCV,ECO1,2025-2026,1366
City or town,5550825,FVDEYLCV,EL1,2025-2026,371
City or town,5550825,FVDEYLCV,ENG3,2025-2026,2225
City or town,5550825,FVDEYLCV,Error,2025-2026,5192
City or town,5550825,FVDEYLCV,FEM3,2025-2026,1280
City or town,5550825,FVDEYLCV,H,2025-2026,608
City or town,5550825,FVDEYLCV,K41,2025-2026,151
City or town,5550825,FVDEYLCV,KIN2,2025-2026,197
City or town,5550825,FVDEYLCV,MAL15,2025-2026,1316
City or town,5550825,FVDEYLCV,NOT3,2025-2026,1230
City or town,5550825,FVDEYLCV,P,2025-2026,20
City or town,5550825,FVDEYLCV,P1,2025-2026,1
City or town,5550825,FVDEYLCV,Q,2025-2026,209
City or town,5550825,FVDEYLCV,SWD1,2025-2026,502
City or town,5550825,FVDEYLCV,SWO1,2025-2026,2094
City or town,5550825,FVDEYLCV,W,2025-2026,1397
City or town,5550825,FVDEYLCV,X1012,2025-2026,216
City or town,5550825,FVDEYLCV,X113,2025-2026,263
City or town,5550825,FVDEYLCV,X1210,2025-2026,236
City or town,5550825,FVDEYLCV,X1S2,2025-2026,192
City or town,5550825,FVDEYLCV,X2N2,2025-2026,201
City or town,5550825,FVDEYLCV,X3R2,2025-2026,201
City or town,5550825,FVDEYLCV,X4T2,2025-2026,213
City or town,5550825,FVDEYLCV,X5T3,2025-2026,16
City or town,5550825,FVDEYLCV,X6T3,2025-2026,15
City or town,5550825,FVDEYLCV,X7T2,2025-2026,241
City or town,5550825,FVDEYLCV,X8T2,2025-2026,230
City or town,5550825,FVDEYLCV,X9T3,2025-2026,224
City or town,5555750,FVDEYLCV,,2025-2026,6472
City or town,5555750,FVDEYLCV,A,2025-2026,274
City or town,5555750,FVDEYLCV,B,2025-2026,206
City or town,5555750,FVDEYLCV,ECO1,2025-2026,1841
City or town,5555750,FVDEYLCV,EL1,2025-2026,239
City or town,5555750,FVDEYLCV,ENG3,2025-2026,6233
City or town,5555750,FVDEYLCV,Error,2025-2026,12923
City or town,5555750,FVDEYLCV,FEM3,2025-2026,3050
City or town,5555750,FVDEYLCV,H,2025-2026,478
City or town,5555750,FVDEYLCV,K41,2025-2026,280
City or town,5555750,FVDEYLCV,KIN2,2025-2026,389
City or town,5555750,FVDEYLCV,MAL15,2025-2026,3401
City or town,5555750,FVDEYLCV,NOT3,2025-2026,4610
City or town,5555750,FVDEYLCV,P,2025-2026,28
City or town,5555750,FVDEYLCV,P1,2025-2026,17
City or town,5555750,FVDEYLCV,PK1,2025-2026,35
City or town,5555750,FVDEYLCV,Q,2025-2026,363
City or town,5555750,FVDEYLCV,SWD1,2025-2026,1108
City or town,5555750,FVDEYLCV,SWO1,2025-2026,5343
City or town,5555750,FVDEYLCV,UNK3,2025-2026,21
City or town,5555750,FVDEYLCV,UNK6,2025-2026,21
City or town,5555750,FVDEYLCV,UNK7,2025-2026,21
City or town,5555750,FVDEYLCV,W,2025-2026,5106
City or town,5555750,FVDEYLCV,X1012,2025-2026,519
City or town,5555750,FVDEYLCV,X113,2025-2026,509
City or town,5555750,FVDEYLCV,X1210,2025-2026,479
City or town,5555750,FVDEYLCV,X1S2,2025-2026,394
City or town,5555750,FVDEYLCV,X2N2,2025-2026,469
City or town,5555750,FVDEYLCV,X3R2,2025-2026,438
City or town,5555750,FVDEYLCV,X4T2,2025-2026,509
City or town,5555750,FVDEYLCV,X5T3,2025-2026,476
City or town,5555750,FVDEYLCV,X6T3,2025-2026,465
City or town,5555750,FVDEYLCV,X7T2,2025-2026,486
City or town,5555750,FVDEYLCV,X8T2,2025-2026,510
City or town,5555750,FVDEYLCV,X9T3,2025-2026,514
City or town,5556800,FVDEYLCV,,2025-2026,981
City or town,5556800,FVDEYLCV,A,2025-2026,8
City or town,5556800,FVDEYLCV,B,2025-2026,14
City or town,5556800,FVDEYLCV,ECO1,2025-2026,279
City or town,5556800,FVDEYLCV,EL1,2025-2026,40
City or town,5556800,FVDEYLCV,ENG3,2025-2026,941
City or town,5556800,FVDEYLCV,Error,2025-2026,1962
City or town,5556800,FVDEYLCV,FEM3,2025-2026,439
City or town,5556800,FVDEYLCV,H,2025-2026,83
City or town,5556800,FVDEYLCV,K41,2025-2026,41
City or town,5556800,FVDEYLCV,KIN2,2025-2026,61
City or town,5556800,FVDEYLCV,MAL15,2025-2026,525
City or town,5556800,FVDEYLCV,NOT3,2025-2026,702
City or town,5556800,FVDEYLCV,P,2025-2026,2
City or town,5556800,FVDEYLCV,PK1,2025-2026,8
City or town,5556800,FVDEYLCV,Q,2025-2026,21
City or town,5556800,FVDEYLCV,SWD1,2025-2026,175
City or town,5556800,FVDEYLCV,SWO1,2025-2026,806
City or town,5556800,FVDEYLCV,UNK7,2025-2026,17
City or town,5556800,FVDEYLCV,W,2025-2026,853
City or town,5556800,FVDEYLCV,X1012,2025-2026,79
City or town,5556800,FVDEYLCV,X113,2025-2026,85
City or town,5556800,FVDEYLCV,X1210,2025-2026,82
City or town,5556800,FVDEYLCV,X1S2,2025-2026,56
City or town,5556800,FVDEYLCV,X2N2,2025-2026,70
City or town,5556800,FVDEYLCV,X3R2,2025-2026,66
City or town,5556800,FVDEYLCV,X4T2,2025-2026,61
City or town,5556800,FVDEYLCV,X5T3,2025-2026,62
City or town,5556800,FVDEYLCV,X6T3,2025-2026,66
City or town,5556800,FVDEYLCV,X7T2,2025-2026,81
City or town,5556800,FVDEYLCV,X8T2,2025-2026,79
City or town,5556800,FVDEYLCV,X9T3,2025-2026,84
City or town,5556925,FVDEYLCV,,2025-2026,106
City or town,5556925,FVDEYLCV,A,2025-2026,1
City or town,5556925,FVDEYLCV,ECO1,2025-2026,50
City or town,5556925,FVDEYLCV,ENG3,2025-2026,106
City or town,5556925,FVDEYLCV,Error,2025-2026,212
City or town,5556925,FVDEYLCV,FEM3,2025-2026,46
City or town,5556925,FVDEYLCV,H,2025-2026,7
